id,cv_text,job_text,label,score_raw,cv_hard_skills,cv_soft_skills,job_hard_skills,job_soft_skills,domain,seniority,match_reason,difficulty
2838,"Professionnel UX Engineer avec 2 ans d'experience en Product / UX Engineering. J'ai travaille sur information architecture, d3.js, sass, looker studio, service desk, sveltekit, svelte, tailwind css, metabase, adobe xd, invision, chart.js dans des environnements fintech. J'apporte autonomy, critical thinking, adaptation, cooperation. Certifications: cisco ccna. Resultat cle: amelioration des resultats de 12% a 20%.","Grand compte recherche un UI Engineer junior pour une equipe Frontend Development. Competences requises: recoil, postman testing, proto.io, sass, looker studio, phoenix. Competences appreciees: looker studio, chart.js, invision, adobe xd, tailwind css, information architecture. Soft skills: change management, analytical thinking, adaptation, adaptability. Contexte: startup en hypercroissance, secteur fintech, localisation Nantes.",1,1.0,"[""information architecture"", ""d3.js"", ""sass"", ""looker studio"", ""service desk"", ""sveltekit"", ""svelte"", ""tailwind css"", ""metabase"", ""adobe xd"", ""invision"", ""chart.js"", ""spring boot"", ""phoenix"", ""alpine linux"", ""recoil""]","[""autonomy"", ""critical thinking"", ""adaptation"", ""cooperation""]","[""spring boot"", ""d3.js"", ""sass"", ""service desk"", ""phoenix"", ""recoil"", ""looker studio"", ""chart.js"", ""invision"", ""adobe xd"", ""tailwind css"", ""information architecture"", ""proto.io"", ""postman testing"", ""consumer driven contracts"", ""figma"", ""ember.js"", ""gatsby""]","[""change management"", ""analytical thinking"", ""adaptation"", ""adaptability""]",Frontend Development,junior,"alignement fort sur le domaine, la stack et le niveau d'experience",hard
2839,"ML Engineer | Data Science / ML Engineering | 4 ans | Nantes | stack: julia, t-sql, customer analytics, lisp, looker, attribution, machine learning, active learning, self-supervised learning, awk | soft: experimentation, agile, cooperation, active listening, analytical thinking | certs: aws certified cloud practitioner","Grand compte recherche un QA Automation Engineer mid pour une equipe QA / Test Automation. Competences requises: azure functions, mybatis, ember.js, capacity planning, adonisjs, chakra ui, rest api, echarts. Competences appreciees: axum, adonisjs, remix, graphql api, backbone.js, teamcity. Soft skills: analytical thinking, conflict resolution, collaboration, change management. Contexte: plateforme cloud, secteur insurance, localisation Nantes.",0,0.0,"[""julia"", ""t-sql"", ""customer analytics"", ""lisp"", ""looker"", ""attribution"", ""machine learning"", ""active learning"", ""self-supervised learning"", ""awk""]","[""experimentation"", ""agile"", ""cooperation"", ""active listening"", ""analytical thinking""]","[""ember.js"", ""echarts"", ""mybatis"", ""chakra ui"", ""capacity planning"", ""rest api"", ""azure functions"", ""vert.x"", ""axum"", ""adonisjs""]","[""analytical thinking"", ""conflict resolution"", ""collaboration"", ""change management"", ""agile""]",QA / Test Automation,mid,domaine different ou ecarts importants sur les competences critiques,medium
2840,"Professionnel LLM Engineer avec 11 ans d'experience en AI / NLP / LLM Engineering. J'ai travaille sur semantic kernel, pl/sql, echo, lora, lightgbm, fiber, statistics, supervised learning, classification, shell scripting, openai api, a/b testing dans des environnements telecom. J'apporte adaptability, change management, cooperation, collaboration, coaching. Certifications: certified scrum product owner, azure ai engineer associate. Resultat cle: amelioration des resultats de 21% a 29%.","Startup recherche un Data Engineer. Must have: aws, s3, fiber, kotlin, sqlite, rust, lora, statistics, gke, classification. Bonus: aws, s3, sqlite, lambda, feature store, assembly, cobol, adobe flash, blockchain, ar/vr. Le poste demande active listening, adaptability, consulting, collaboration. Domaine: Data Engineering / Analytics Engineering. Lieu: Dakar.",1,0.5,"[""semantic kernel"", ""pl/sql"", ""echo"", ""lora"", ""lightgbm"", ""fiber"", ""statistics"", ""supervised learning"", ""classification"", ""shell scripting"", ""openai api"", ""a/b testing"", ""t-sql"", ""model evaluation"", ""keras""]","[""adaptability"", ""change management"", ""cooperation"", ""collaboration"", ""coaching"", ""documentation"", ""accountability""]","[""keras"", ""fiber"", ""classification"", ""echo"", ""lora"", ""statistics"", ""bigquery"", ""rust"", ""mulesoft"", ""kotlin"", ""alloydb"", ""gke"", ""aws"", ""s3"", ""sqlite""]","[""active listening"", ""adaptability"", ""consulting"", ""collaboration"", ""change management"", ""adaptation"", ""accountability""]",Data Engineering / Analytics Engineering,lead,profil transferable avec recouvrement partiel des competences et technologies connexes,hard
2841,"Smart Contract Developer | Blockchain / Web3 | 5 ans | Remote | stack: oauth, dart, scheme, secure coding, mybatis, lisp, zero trust, ethereum, spring boot, visual basic, cryptography, sql injection | soft: autonomy, problem solving, research, business acumen, analytical thinking | certs: cissp","Poste API Engineer mid dans le secteur public sector. Required: greenplum, fauna, pinecone, couchbase, postgresql, scheme, ethereum, mybatis. Nice to have: fauna, greenplum, high availability, postgresql, sap hana, hapi. Soft skills attendues: attention to detail, adaptability, cooperation, ownership. Contexte: grand groupe. Localisation: Remote.",1,0.5,"[""oauth"", ""dart"", ""scheme"", ""secure coding"", ""mybatis"", ""lisp"", ""zero trust"", ""ethereum"", ""spring boot"", ""visual basic"", ""cryptography"", ""sql injection""]","[""autonomy"", ""problem solving"", ""research"", ""business acumen"", ""analytical thinking""]","[""ethereum"", ""mybatis"", ""sql injection"", ""scheme"", ""visual basic"", ""pinecone"", ""spring cloud"", ""couchbase"", ""fauna"", ""greenplum"", ""high availability"", ""postgresql""]","[""attention to detail"", ""adaptability"", ""cooperation"", ""ownership"", ""systems thinking""]",Backend Development,mid,profil transferable avec recouvrement partiel des competences et technologies connexes,hard
2842,"Product Engineer | Full Stack Web Development | 4 ans | Nantes | stack: mulesoft, rocket, emotion, bitbucket pipelines, tailwind css, recoil, red hat, ember.js, chakra ui, jenkins, postgresql, grpc | soft: ownership, active listening, collaboration, consulting, analytical thinking | certs: azure developer associate, astronomer airflow certification","Poste UI Engineer mid dans le secteur public sector. Required: mobx, nuxt.js, whimsical, bitbucket pipelines, red hat, consumer driven contracts, recoil, proto.io. Nice to have: whimsical, proto.io, mobx, cypress, nuxt.js, unit testing. Soft skills attendues: conflict resolution, collaboration, autonomy, business acumen. Contexte: grand groupe. Localisation: Nantes.",1,0.5,"[""mulesoft"", ""rocket"", ""emotion"", ""bitbucket pipelines"", ""tailwind css"", ""recoil"", ""red hat"", ""ember.js"", ""chakra ui"", ""jenkins"", ""postgresql"", ""grpc"", ""wsdl""]","[""ownership"", ""active listening"", ""collaboration"", ""consulting"", ""analytical thinking""]","[""tailwind css"", ""red hat"", ""bitbucket pipelines"", ""recoil"", ""grpc"", ""storybook"", ""consumer driven contracts"", ""shadcn/ui"", ""whimsical"", ""proto.io"", ""mobx"", ""cypress"", ""nuxt.js""]","[""conflict resolution"", ""collaboration"", ""autonomy"", ""business acumen"", ""change management""]",Frontend Development,mid,profil transferable avec recouvrement partiel des competences et technologies connexes,hard
2843,"Professionnel Web3 Engineer avec 8 ans d'experience en Blockchain / Web3. J'ai travaille sur xss, bash, metamask, r, crystal, sed, hyperledger, fiber, python, nim, delphi, iam dans des environnements telecom. J'apporte attention to detail, cooperation, creativity, change management, adaptation. Certifications: astronomer airflow certification, cissp. Resultat cle: amelioration des resultats de 18% a 26%.","Startup recherche un Java Developer. Must have: iam, play framework, bash, xss, fiber, rate limiting, graphql api, defi, message brokers, r. Bonus: fiber, play framework, rate limiting, graphql api, sap hana, asp.net core. Le poste demande systems thinking, consulting, agile, accountability. Domaine: Backend Development. Lieu: Casablanca.",1,1.0,"[""xss"", ""bash"", ""metamask"", ""r"", ""crystal"", ""sed"", ""hyperledger"", ""fiber"", ""python"", ""nim"", ""delphi"", ""iam"", ""defi""]","[""attention to detail"", ""cooperation"", ""creativity"", ""change management"", ""adaptation"", ""ownership""]","[""xss"", ""nim"", ""python"", ""defi"", ""iam"", ""bash"", ""sed"", ""crystal"", ""r"", ""message brokers"", ""fiber"", ""play framework"", ""rate limiting"", ""graphql api"", ""sap hana""]","[""systems thinking"", ""consulting"", ""agile"", ""accountability"", ""active listening"", ""creativity""]",Backend Development,senior,"alignement fort sur le domaine, la stack et le niveau d'experience",easy
2844,"Professionnel Test Engineer avec 3 ans d'experience en QA / Test Automation. J'ai travaille sur buildkite, axum, rocket, rollup, api gateway, ubuntu, soap services, k6, ava, webpack, framer motion, graphql api dans des environnements cyberdefense. J'apporte conflict resolution, attention to detail, adaptation, critical thinking, quality mindset. Certifications: Aucune certification formelle. Resultat cle: amelioration des resultats de 13% a 21%.","Poste Backend Engineer mid dans le secteur cyberdefense. Required: framer motion, phoenix, yugabytedb, k6, rate limiting, rails, webpack, buildkite. Nice to have: framer motion, rails, rate limiting, phoenix, azure service bus, couchbase. Soft skills attendues: ownership, critical thinking, cooperation, autonomy. Contexte: cabinet de conseil. Localisation: Remote.",1,1.0,"[""buildkite"", ""axum"", ""rocket"", ""rollup"", ""api gateway"", ""ubuntu"", ""soap services"", ""k6"", ""ava"", ""webpack"", ""framer motion"", ""graphql api""]","[""conflict resolution"", ""attention to detail"", ""adaptation"", ""critical thinking"", ""quality mindset""]","[""k6"", ""buildkite"", ""webpack"", ""ava"", ""rocket"", ""soap services"", ""graphql api"", ""ubuntu"", ""framer motion"", ""rails"", ""rate limiting"", ""phoenix"", ""azure service bus"", ""couchbase"", ""yugabytedb""]","[""ownership"", ""critical thinking"", ""cooperation"", ""autonomy"", ""agile""]",Backend Development,mid,"alignement fort sur le domaine, la stack et le niveau d'experience",easy
2845,"CRM Engineer | ERP / CRM / Enterprise Apps | 0 ans | Toulouse | stack: tornado, sinatra, cube, superset, gitlab, api versioning, sap hana, zoom, spring cloud, asana | soft: organization, accountability, business acumen, active listening | certs: azure data engineer associate","Poste React Developer junior dans le secteur healthtech. Required: ux writing, vite, d3.js, recoil, integration testing, astro. Nice to have: recoil, robot framework, ux writing, d3.js, newman, consumer driven contracts. Soft skills attendues: consulting, creativity, coaching, critical thinking. Contexte: grand groupe. Localisation: Toulouse.",0,0.0,"[""tornado"", ""sinatra"", ""cube"", ""superset"", ""gitlab"", ""api versioning"", ""sap hana"", ""zoom"", ""spring cloud"", ""asana""]","[""organization"", ""accountability"", ""business acumen"", ""active listening""]","[""astro"", ""vite"", ""bdd"", ""emotion"", ""integration testing"", ""svelte"", ""recoil"", ""robot framework"", ""ux writing"", ""d3.js""]","[""consulting"", ""creativity"", ""coaching"", ""critical thinking""]",Frontend Development,junior,domaine different ou ecarts importants sur les competences critiques,medium
2846,"Firmware Engineer | Embedded / IoT / Robotics | 0 ans | Nantes | stack: graphql, stm32, haskell, t-sql, typescript, delphi, digital twin, ros2, arm, crystal | soft: creativity, problem solving, accountability, collaboration | certs: adobe analytics certification, azure developer associate","Poste AR/VR Engineer junior dans le secteur cyberdefense. Required: framer, oculus sdk, react native, javascript, stm32, sql. Nice to have: oculus sdk, react native, sql, javascript, crystal, lisp. Soft skills attendues: autonomy, attention to detail, problem solving, analytical thinking. Contexte: scale-up internationale. Localisation: Nantes.",1,0.5,"[""graphql"", ""stm32"", ""haskell"", ""t-sql"", ""typescript"", ""delphi"", ""digital twin"", ""ros2"", ""arm"", ""crystal""]","[""creativity"", ""problem solving"", ""accountability"", ""collaboration""]","[""typescript"", ""stm32"", ""delphi"", ""crystal"", ""capacitor"", ""framer"", ""oculus sdk"", ""react native"", ""sql"", ""javascript""]","[""autonomy"", ""attention to detail"", ""problem solving"", ""analytical thinking""]",Game Development / AR / VR,junior,profil transferable avec recouvrement partiel des competences et technologies connexes,hard
2847,"PROFIL
Network Engineer senior en Networking / Systems Administration, base a Bruxelles, avec 10 ans d'experience.

EXPERIENCE
Missions dans le secteur retail. Stack principale: disaster recovery, macos, freebsd, ci/cd, hipaa, blue green deployment, circleci, ipv4, endpoint protection, dhcp, sftp, grpc. Resultats: amelioration des resultats de 20% a 28%.

COMPETENCES
disaster recovery, macos, freebsd, ci/cd, hipaa, blue green deployment, circleci, ipv4, endpoint protection, dhcp, sftp, grpc

SOFT SKILLS
conflict resolution, attention to detail, consulting, accountability, incident management

CERTIFICATIONS
azure data engineer associate, azure fundamentals","Poste Application Security Engineer senior dans le secteur retail. Required: hipaa, audit, cryptography, ci/cd, digital forensics, endpoint protection, lan, grpc, blue green deployment, disaster recovery. Nice to have: key management, amqp, digital forensics, security operations, cryptography, audit. Soft skills attendues: autonomy, cooperation, accountability, coaching. Contexte: startup en hypercroissance. Localisation: Bruxelles.",1,1.0,"[""disaster recovery"", ""macos"", ""freebsd"", ""ci/cd"", ""hipaa"", ""blue green deployment"", ""circleci"", ""ipv4"", ""endpoint protection"", ""dhcp"", ""sftp"", ""grpc"", ""tcp/ip"", ""lan""]","[""conflict resolution"", ""attention to detail"", ""consulting"", ""accountability"", ""incident management"", ""organization""]","[""blue green deployment"", ""hipaa"", ""ipv4"", ""lan"", ""ci/cd"", ""circleci"", ""grpc"", ""sftp"", ""disaster recovery"", ""endpoint protection"", ""key management"", ""amqp"", ""digital forensics"", ""security operations"", ""cryptography"", ""audit""]","[""autonomy"", ""cooperation"", ""accountability"", ""coaching"", ""agile"", ""critical thinking""]",Cybersecurity / AppSec,senior,"alignement fort sur le domaine, la stack et le niveau d'experience",easy
2848,"Professionnel Product Designer avec 9 ans d'experience en Product / UX Engineering. J'ai travaille sur freshdesk, figma, chart.js, proto.io, service desk, qlik, data visualization, obsidian, zoom, next.js, css modules, zendesk dans des environnements public sector. J'apporte critical thinking, customer focus, coaching, creativity, attention to detail. Certifications: cisa. Resultat cle: amelioration des resultats de 19% a 27%.","Startup recherche un Android Developer. Must have: bulma, ionic, axum, aws lambda, graphql api, styled-components, sinatra, rocket, xamarin, ios. Bonus: aws lambda, sinatra, xamarin, preact, flutter, fiber. Le poste demande business acumen, teamwork, conflict resolution, quality mindset. Domaine: Mobile Development. Lieu: Toulouse.",0,0.0,"[""freshdesk"", ""figma"", ""chart.js"", ""proto.io"", ""service desk"", ""qlik"", ""data visualization"", ""obsidian"", ""zoom"", ""next.js"", ""css modules"", ""zendesk"", ""lucidchart""]","[""critical thinking"", ""customer focus"", ""coaching"", ""creativity"", ""attention to detail"", ""change management""]","[""rocket"", ""bulma"", ""axum"", ""ios"", ""capacitor"", ""graphql api"", ""laravel"", ""jquery"", ""styled-components"", ""ionic"", ""aws lambda"", ""sinatra"", ""xamarin""]","[""business acumen"", ""teamwork"", ""conflict resolution"", ""quality mindset"", ""cooperation"", ""consulting""]",Mobile Development,senior,domaine different ou ecarts importants sur les competences critiques,medium
2849,"Professionnel CRM Engineer avec 6 ans d'experience en ERP / CRM / Enterprise Apps. J'ai travaille sur looker studio, cakephp, git, power query, microsoft dynamics, power automate, boomi, asp.net core, play framework, blazor, grpc, cube dans des environnements public sector. J'apporte analytical thinking, attention to detail, active listening, organization, adaptation. Certifications: Aucune certification formelle. Resultat cle: amelioration des resultats de 16% a 24%.","Poste Technical Lead senior dans le secteur public sector. Required: power query, cube, new relic, api gateway, multitenancy, git, webhooks, openshift, boomi, wsdl. Nice to have: wsdl, webhooks, django, alertmanager, play framework, datadog. Soft skills attendues: leadership, collaboration, adaptation, mentoring. Contexte: organisation regulee. Localisation: Montreal.",1,0.5,"[""looker studio"", ""cakephp"", ""git"", ""power query"", ""microsoft dynamics"", ""power automate"", ""boomi"", ""asp.net core"", ""play framework"", ""blazor"", ""grpc"", ""cube""]","[""analytical thinking"", ""attention to detail"", ""active listening"", ""organization"", ""adaptation"", ""collaboration""]","[""git"", ""cube"", ""boomi"", ""looker studio"", ""power query"", ""new relic"", ""api gateway"", ""laravel"", ""multitenancy"", ""openshift"", ""wsdl"", ""webhooks""]","[""leadership"", ""collaboration"", ""adaptation"", ""mentoring"", ""active listening"", ""critical thinking""]",Software Architecture / Technical Leadership,senior,profil transferable avec recouvrement partiel des competences et technologies connexes,hard
2850,"Firmware Engineer | Embedded / IoT / Robotics | 1 ans | Casablanca | stack: ubuntu, swift, iot, perl, windows, abap, zephyr, julia, r, spi, crystal | soft: attention to detail, analytical thinking, communication, coaching | certs: Aucune certification formelle","Grand compte recherche un Network Engineer junior pour une equipe Networking / Systems Administration. Competences requises: ospf, r, perl, ubuntu, http/https, spi. Competences appreciees: julia, iot, debian, bitbucket pipelines, cis controls, reverse proxy. Soft skills: adaptation, agile, adaptability, creativity. Contexte: equipe produit distribuee, secteur public sector, localisation Casablanca.",1,1.0,"[""ubuntu"", ""swift"", ""iot"", ""perl"", ""windows"", ""abap"", ""zephyr"", ""julia"", ""r"", ""spi"", ""crystal""]","[""attention to detail"", ""analytical thinking"", ""communication"", ""coaching""]","[""perl"", ""abap"", ""r"", ""ubuntu"", ""spi"", ""windows"", ""julia"", ""iot"", ""debian"", ""bitbucket pipelines"", ""cis controls"", ""reverse proxy"", ""ospf"", ""http/https""]","[""adaptation"", ""agile"", ""adaptability"", ""creativity""]",Networking / Systems Administration,junior,"alignement fort sur le domaine, la stack et le niveau d'experience",easy
2851,"PROFIL
Blockchain Engineer lead en Blockchain / Web3, base a Bruxelles, avec 11 ans d'experience.

EXPERIENCE
Missions dans le secteur edtech. Stack principale: blazor, phoenix, signalr, abac, play framework, kubernetes security, vba, powershell, adonisjs, sql, hibernate, sast. Resultats: amelioration des resultats de 21% a 29%.

COMPETENCES
blazor, phoenix, signalr, abac, play framework, kubernetes security, vba, powershell, adonisjs, sql, hibernate, sast

SOFT SKILLS
critical thinking, consulting, agile, analytical thinking, adaptation

CERTIFICATIONS
azure data engineer associate, azure solutions architect expert","Startup recherche un Backend Engineer. Must have: dast, abac, xss, soap services, fastapi, blazor, phoenix, play framework, outbox pattern, defi. Bonus: defi, dast, apache kafka, laravel, outbox pattern, aws lambda. Le poste demande business acumen, problem solving, change management, planning. Domaine: Backend Development. Lieu: Bruxelles.",1,1.0,"[""blazor"", ""phoenix"", ""signalr"", ""abac"", ""play framework"", ""kubernetes security"", ""vba"", ""powershell"", ""adonisjs"", ""sql"", ""hibernate"", ""sast"", ""xss"", ""fastapi"", ""tornado"", ""dast"", ""blockchain"", ""fiber"", ""defi""]","[""critical thinking"", ""consulting"", ""agile"", ""analytical thinking"", ""adaptation"", ""cooperation"", ""conflict resolution""]","[""powershell"", ""sql"", ""vba"", ""abac"", ""blazor"", ""fiber"", ""fastapi"", ""xss"", ""play framework"", ""kubernetes security"", ""tornado"", ""phoenix"", ""defi"", ""dast"", ""apache kafka"", ""laravel"", ""outbox pattern"", ""aws lambda"", ""chromadb"", ""soap services""]","[""business acumen"", ""problem solving"", ""change management"", ""planning"", ""ownership"", ""systems thinking"", ""adaptation""]",Backend Development,lead,"alignement fort sur le domaine, la stack et le niveau d'experience",easy
2852,"ML Engineer | Data Science / ML Engineering | 3 ans | Nantes | stack: pyspark, matlab, ksql, abap, dashboards, vba, cdc, feature selection, tableau, dax | soft: business acumen, consulting, adaptation, creativity, active listening | certs: cisco ccnp","Poste Analytics Specialist mid dans le secteur edtech. Required: firebird, vba, pyspark, ksql, vertica, informatica, dashboards, db2. Nice to have: superset, documentation, draw.io, cube, apache hadoop, google workspace. Soft skills attendues: storytelling, communication, analytical thinking, critical thinking. Contexte: organisation regulee. Localisation: Nantes.",1,0.5,"[""pyspark"", ""matlab"", ""ksql"", ""abap"", ""dashboards"", ""vba"", ""cdc"", ""feature selection"", ""tableau"", ""dax""]","[""business acumen"", ""consulting"", ""adaptation"", ""creativity"", ""active listening""]","[""ksql"", ""dashboards"", ""vba"", ""pyspark"", ""firebird"", ""informatica"", ""vertica"", ""db2"", ""superset"", ""documentation""]","[""storytelling"", ""communication"", ""analytical thinking"", ""critical thinking"", ""conflict resolution""]",BI / Analytics / Visualization,mid,profil transferable avec recouvrement partiel des competences et technologies connexes,hard
2853,"PROFIL
Test Engineer lead en QA / Test Automation, base a Toulouse, avec 12 ans d'experience.

EXPERIENCE
Missions dans le secteur retail. Stack principale: sass, parcel, consumer driven contracts, storybook, spring boot, playwright, gitlab ci, bitbucket pipelines, vitest, chaos engineering, spinnaker, unittest. Resultats: amelioration des resultats de 22% a 30%.

COMPETENCES
sass, parcel, consumer driven contracts, storybook, spring boot, playwright, gitlab ci, bitbucket pipelines, vitest, chaos engineering, spinnaker, unittest

SOFT SKILLS
creativity, adaptation, agile, attention to detail, adaptability

CERTIFICATIONS
azure data engineer associate","Poste UI Engineer lead dans le secteur retail. Required: storybook, postman testing, three.js, spring boot, vitest, wireframing, tdd, lit, miro, vue.js. Nice to have: radix ui, pact, invision, ant design, pytest, cobol, adobe flash, blockchain, ar/vr. Soft skills attendues: cooperation, active listening, change management, coaching. Contexte: equipe produit distribuee. Localisation: Toulouse.",1,0.5,"[""sass"", ""parcel"", ""consumer driven contracts"", ""storybook"", ""spring boot"", ""playwright"", ""gitlab ci"", ""bitbucket pipelines"", ""vitest"", ""chaos engineering"", ""spinnaker"", ""unittest"", ""vue.js""]","[""creativity"", ""adaptation"", ""agile"", ""attention to detail"", ""adaptability"", ""cooperation"", ""organization""]","[""consumer driven contracts"", ""storybook"", ""vue.js"", ""spring boot"", ""vitest"", ""tdd"", ""wireframing"", ""miro"", ""web components"", ""lit"", ""postman testing"", ""three.js"", ""radix ui""]","[""cooperation"", ""active listening"", ""change management"", ""coaching"", ""creativity"", ""agile"", ""critical thinking""]",Frontend Development,lead,profil transferable avec recouvrement partiel des competences et technologies connexes,hard
2854,"SRE | Platform / SRE / Observability | 6 ans | Dakar | stack: alertmanager, pulumi, apm, bugsnag, grafana loki, blue green deployment, release engineering, tekton, nix, red hat, feature flags, podman | soft: agile, accountability, analytical thinking, adaptability, cooperation | certs: Aucune certification formelle","Poste Web3 Engineer senior dans le secteur gaming. Required: awk, move, consensus algorithms, nfts, django, hibernate, gml, axum, koa, symfony. Nice to have: hibernate, symfony, defi, consensus algorithms, zero trust, jwt. Soft skills attendues: autonomy, business acumen, cooperation, collaboration. Contexte: plateforme cloud. Localisation: Dakar.",0,0.0,"[""alertmanager"", ""pulumi"", ""apm"", ""bugsnag"", ""grafana loki"", ""blue green deployment"", ""release engineering"", ""tekton"", ""nix"", ""red hat"", ""feature flags"", ""podman"", ""calico"", ""helm""]","[""agile"", ""accountability"", ""analytical thinking"", ""adaptability"", ""cooperation"", ""systems thinking""]","[""move"", ""gml"", ""awk"", ""koa"", ""spring cloud"", ""vert.x"", ""axum"", ""nfts"", ""django"", ""fiber"", ""hibernate"", ""symfony"", ""defi"", ""consensus algorithms""]","[""autonomy"", ""business acumen"", ""cooperation"", ""collaboration"", ""communication"", ""curiosity""]",Blockchain / Web3,senior,domaine different ou ecarts importants sur les competences critiques,medium
2855,"Android Developer | Mobile Development | 3 ans | Toulouse | stack: react query, mybatis, bff, arkit, mobile accessibility, node.js, radix ui, blazor, astro, backbone.js, fiber, echo | soft: change management, creativity, quality mindset, critical thinking, agile | certs: ceh","Startup recherche un React Developer. Must have: rxjs, playwright, bootstrap, remix, mobile accessibility, node.js, preact, echo. Bonus: qwik, vue.js, rxjs, information architecture, remix, mobx. Le poste demande adaptability, autonomy, attention to detail, consulting. Domaine: Frontend Development. Lieu: Toulouse.",1,0.5,"[""react query"", ""mybatis"", ""bff"", ""arkit"", ""mobile accessibility"", ""node.js"", ""radix ui"", ""blazor"", ""astro"", ""backbone.js"", ""fiber"", ""echo"", ""realm mobile""]","[""change management"", ""creativity"", ""quality mindset"", ""critical thinking"", ""agile""]","[""node.js"", ""arkit"", ""mobile accessibility"", ""echo"", ""fiber"", ""bootstrap"", ""preact"", ""playwright"", ""qwik"", ""vue.js"", ""rxjs"", ""information architecture"", ""remix""]","[""adaptability"", ""autonomy"", ""attention to detail"", ""consulting"", ""cooperation""]",Frontend Development,mid,profil transferable avec recouvrement partiel des competences et technologies connexes,hard
2856,"Java Developer | Backend Development | 13 ans | Nantes | stack: graphql federation, hbase, stream processing, service oriented architecture, domain-driven design, realm, cosmos db, mongodb, koa, couchbase, janusgraph, sqlite | soft: collaboration, active listening, adaptability, business acumen, systems thinking | certs: adobe analytics certification","Poste Software Engineer lead dans le secteur healthtech. Required: domain-driven design, adonisjs, soap, travis ci, snowflake, service oriented architecture, postmortems, mongodb, echo, pyramid. Nice to have: soap, fastapi, remix, grpc, release engineering, typescript. Soft skills attendues: collaboration, autonomy, consulting, teamwork. Contexte: plateforme cloud. Localisation: Nantes.",1,0.5,"[""graphql federation"", ""hbase"", ""stream processing"", ""service oriented architecture"", ""domain-driven design"", ""realm"", ""cosmos db"", ""mongodb"", ""koa"", ""couchbase"", ""janusgraph"", ""sqlite"", ""redis streams"", ""multitenancy"", ""adonisjs"", ""greenplum"", ""weaviate"", ""serverless framework"", ""snowflake""]","[""collaboration"", ""active listening"", ""adaptability"", ""business acumen"", ""systems thinking"", ""accountability"", ""coaching""]","[""snowflake"", ""mongodb"", ""adonisjs"", ""stream processing"", ""sqlite"", ""service oriented architecture"", ""cosmos db"", ""domain-driven design"", ""presto"", ""pyramid"", ""travis ci"", ""postmortems"", ""soap"", ""fastapi"", ""remix"", ""grpc"", ""release engineering"", ""typescript"", ""echo""]","[""collaboration"", ""autonomy"", ""consulting"", ""teamwork"", ""conflict resolution"", ""ownership"", ""cooperation""]",Full Stack Web Development,lead,profil transferable avec recouvrement partiel des competences et technologies connexes,hard
2857,"Product Analyst | BI / Analytics / Visualization | 5 ans | Toulouse | stack: asana, obsidian, miro, postgresql, elt, presto, tidb, attribution, oracle database, flink, azure data factory | soft: customer focus, change management, analytical thinking, attention to detail, cooperation | certs: Aucune certification formelle","Grand compte recherche un Analytics Engineer mid pour une equipe Data Engineering / Analytics Engineering. Competences requises: miro, event hub, f#, lua, prolog, tidb, oracle database, singleStore. Competences appreciees: singleStore, prolog, elixir, pyspark, api gateway, firebird. Soft skills: collaboration, agile, change management, consulting. Contexte: grand groupe, secteur public sector, localisation Toulouse.",1,0.5,"[""asana"", ""obsidian"", ""miro"", ""postgresql"", ""elt"", ""presto"", ""tidb"", ""attribution"", ""oracle database"", ""flink"", ""azure data factory""]","[""customer focus"", ""change management"", ""analytical thinking"", ""attention to detail"", ""cooperation""]","[""tidb"", ""miro"", ""oracle database"", ""attribution"", ""event hub"", ""f#"", ""lua"", ""api gateway"", ""singleStore"", ""prolog"", ""elixir""]","[""collaboration"", ""agile"", ""change management"", ""consulting"", ""autonomy""]",Data Engineering / Analytics Engineering,mid,profil transferable avec recouvrement partiel des competences et technologies connexes,hard
2858,"CRM Engineer | ERP / CRM / Enterprise Apps | 0 ans | Lyon | stack: draw.io, swagger, sinatra, wsdl, signalr, openapi, graphql, power apps, rate limiting, semantic layer, saga pattern, fault tolerance | soft: communication, adaptability, consulting, autonomy | certs: Aucune certification formelle","Startup recherche un Full Stack Developer. Must have: react, next.js, play framework, css modules, chakra ui, bamboo. Bonus: play framework, release engineering, framer motion, css modules, red hat, react. Le poste demande cooperation, ownership, consulting, coaching. Domaine: Full Stack Web Development. Lieu: Lyon.",0,0.0,"[""draw.io"", ""swagger"", ""sinatra"", ""wsdl"", ""signalr"", ""openapi"", ""graphql"", ""power apps"", ""rate limiting"", ""semantic layer"", ""saga pattern"", ""fault tolerance"", ""service oriented architecture"", ""message brokers"", ""neo4j"", ""gin""]","[""communication"", ""adaptability"", ""consulting"", ""autonomy""]","[""chart.js"", ""graphql api"", ""nuxt.js"", ""mulesoft"", ""next.js"", ""chakra ui"", ""play framework"", ""release engineering"", ""framer motion"", ""css modules"", ""red hat"", ""react"", ""teradata"", ""bamboo"", ""runbooks"", ""ci/cd""]","[""cooperation"", ""ownership"", ""consulting"", ""coaching""]",Full Stack Web Development,junior,domaine different ou ecarts importants sur les competences critiques,hard
